mean_rank,feature,rank_shift,rank_att,rank_shift_in_modal,rank_att_in_modal,modality,importance_shift,importance_att,top_10_pct,mean_de,mean_re,std_de,std_re,pval,pval_adj,log_fc,group,pval_adj_log,mean_diff,pathway,module
1627.0,Elovl7,1397,1857,592,807,RNA,0.000424,4.6e-05,None,0.016358,0.047564,0.105616,0.148853,1.0389594919118645e-07,2e-06,1.56254,reprogramming,5.757091,-0.031207,,
1627.0,Gm9833,1339,1915,576,865,RNA,0.000521,3.5e-05,None,0.011299,0.026009,0.054927,0.113312,9.399092966218408e-05,0.000807,1.213433,reprogramming,3.092859,-0.01471,,
1631.0,Arnt_25,1653,1609,830,866,ATAC,0.000171,0.000105,None,0.004954,-0.010007,0.060476,0.063467,0.07357014795846013,0.104025,-0.196168,dead-end,0.982863,-0.014961,,
1632.5,Ndrg1,1477,1788,616,738,RNA,0.000328,6e-05,None,0.046701,0.019214,0.159103,0.110731,0.00011152781912226546,0.000937,-1.301208,dead-end,3.028388,0.027487,,
1633.5,Sox6_742,1708,1559,865,843,ATAC,0.000127,0.000113,None,-0.013417,0.008853,0.049849,0.048587,0.0011280833701229891,0.002484,0.291902,reprogramming,2.604842,0.02227,,
1634.5,Pld1,1385,1884,588,834,RNA,0.000442,3.9e-05,None,0.032306,0.066366,0.148343,0.183644,1.2007286171681392e-05,0.000131,1.063433,reprogramming,3.882619,-0.034061,,
1635.0,Sp3_802,1729,1541,875,834,ATAC,0.0001,0.000115,None,0.003126,0.016468,0.034823,0.038383,0.006721221238021827,0.012547,0.15726,reprogramming,1.901452,0.013342,,
1635.5,Pth1r,1950,1321,770,471,RNA,0.0,0.000153,None,0.012267,0.003102,0.068654,0.033108,0.0017211075984811346,0.009876,-1.990268,dead-end,2.005422,0.009165,,
1635.5,Tnfaip6,1530,1741,627,691,RNA,0.000288,7.2e-05,None,0.043989,0.015909,0.138523,0.090357,4.784416657132649e-06,5.7e-05,-1.487669,dead-end,4.242238,0.02808,,
1637.0,Pdgfb,1607,1667,643,619,RNA,0.000218,9.1e-05,None,0.001455,0.009824,0.019319,0.065479,1.3594968560144836e-05,0.000146,2.761433,reprogramming,3.835456,-0.008369,,
1637.0,Mst1r,1315,1959,568,909,RNA,0.00055,2.9e-05,None,0.003926,0.019342,0.031345,0.102424,3.6461912750351254e-07,6e-06,2.311942,reprogramming,5.252044,-0.015417,,
1637.5,Hes5_83,1635,1640,817,879,ATAC,0.000196,9.8e-05,None,-0.012568,0.003857,0.072407,0.075369,0.09973816635393797,0.135699,0.21908,reprogramming,0.867423,0.016425,,
1637.5,Jph2,1463,1812,610,762,RNA,0.00034,5.7e-05,None,0.058225,0.027169,0.183039,0.121557,0.0001308514637290831,0.001076,-1.122255,dead-end,2.968086,0.031056,,
1637.5,Zfp161_209,1728,1547,874,837,ATAC,0.000103,0.000115,None,0.008486,0.00454,0.038491,0.038394,0.4495431701594077,0.512189,-0.047749,dead-end,0.29057,-0.003946,,
1638.0,Sox21,1755,1521,708,533,RNA,6.2e-05,0.000119,None,0.00421,0.014401,0.060275,0.100779,0.005101837922163874,0.024173,1.781824,reprogramming,1.616673,-0.010192,,
1639.0,Enpp2,1849,1429,924,505,RNA,0.0,0.000135,None,0.001424,0.00587,0.017411,0.058242,0.009413848233666672,0.039581,2.046183,reprogramming,1.402508,-0.004446,,
1640.0,2810433D01Rik,1532,1748,628,698,RNA,0.000287,7.1e-05,None,0.01329,0.032096,0.088021,0.132779,0.00019028939336587048,0.001491,1.285708,reprogramming,2.826529,-0.018807,,
1640.0,Tcfap2d_5,1763,1517,882,819,ATAC,5.6e-05,0.000119,None,0.002536,0.001612,0.016365,0.016612,0.6781820063475794,0.724981,-0.011621,dead-end,0.139673,-0.000925,,
1640.0,Sp7_222,1736,1544,877,836,ATAC,8.9e-05,0.000115,None,0.00772,0.016889,0.029911,0.033562,0.03037686497866486,0.047812,0.105844,reprogramming,1.320459,0.009169,,
1640.5,Mlxip_70,1657,1624,832,874,ATAC,0.00017,0.000101,None,-0.004812,0.012348,0.061994,0.062613,0.043204514836689585,0.065213,0.212904,reprogramming,1.185666,0.01716,,
1641.5,2610300M13Rik,1794,1489,899,521,RNA,0.0,0.000125,None,0.000138,0.004111,0.000494,0.05295,0.005125605803436989,0.024272,4.900934,reprogramming,1.614891,-0.003973,,
1642.0,Ppargc1b,1940,1344,943,478,RNA,0.0,0.000149,None,0.012907,0.003849,0.07077,0.039033,0.00302815995855412,0.015827,-1.752184,dead-end,1.800611,0.009058,,
1642.5,Gm4881_295,1662,1623,836,873,ATAC,0.000166,0.000101,None,0.001137,0.007767,0.03655,0.04232,0.20276319130101075,0.25468,0.08165,reprogramming,0.594006,0.00663,,
1642.5,Sox2_750,1700,1585,860,855,ATAC,0.000132,0.000109,None,-0.008825,0.005072,0.038977,0.045897,0.013448902732117055,0.023285,0.181099,reprogramming,1.632923,0.013896,,
1644.0,Hes2_51,1667,1621,839,871,ATAC,0.000163,0.000101,None,-0.011164,0.007542,0.058575,0.059497,0.02016330750878185,0.03291,0.243891,reprogramming,1.482675,0.018706,,
1644.5,Gm13056,1427,1862,599,812,RNA,0.000383,4.5e-05,None,0.021901,0.046011,0.119829,0.15041,0.00013466767475957264,0.001105,1.088474,reprogramming,2.956629,-0.02411,,
1644.5,Nr1h3,1412,1877,595,827,RNA,0.000403,4.1e-05,None,0.014782,0.03338,0.099813,0.138559,0.0007062460066811308,0.004638,1.188639,reprogramming,2.333686,-0.018598,,
1645.0,Slc40a1,1595,1695,641,645,RNA,0.000229,8.7e-05,None,0.006764,0.023376,0.055421,0.114831,1.3186015123284258e-05,0.000142,1.801091,reprogramming,3.847375,-0.016612,,
1646.0,Scara5,1960,1332,768,475,RNA,0.0,0.000151,None,0.002226,0.01182,0.031107,0.103107,0.0015823736423129005,0.009201,2.415745,reprogramming,2.036142,-0.009595,,
1649.5,Sp5_238,1723,1576,871,852,ATAC,0.000107,0.00011,None,0.003246,0.018533,0.037506,0.041286,0.003975964436298161,0.007784,0.178647,reprogramming,2.108773,0.015288,,
1650.0,Mmp19,1695,1605,671,575,RNA,0.000134,0.000106,None,0.056371,0.018136,0.176863,0.108663,8.836215624244089e-07,1.3e-05,-1.663836,dead-end,4.902638,0.038235,,
1650.5,Sp8_207,1732,1569,876,849,ATAC,9.4e-05,0.000112,None,0.00772,0.016889,0.029911,0.033562,0.03037686497866486,0.047812,0.105844,reprogramming,1.320459,0.009169,,
1655.0,Angpt1,1809,1501,816,528,RNA,0.0,0.000122,None,0.038032,0.018775,0.168467,0.125206,0.011339616507138542,0.046251,-1.032318,dead-end,1.334882,0.019256,,
1655.5,Gpr153,1479,1832,617,782,RNA,0.000327,5.1e-05,None,0.046834,0.022685,0.14793,0.105623,0.00027641732629441867,0.002058,-1.063316,dead-end,2.686582,0.024148,,
1656.0,Adamts16,1470,1842,614,792,RNA,0.000333,4.8e-05,None,0.001361,0.007252,0.024176,0.061878,0.002215506845206951,0.012194,2.418439,reprogramming,1.913851,-0.005891,,
1659.5,Hs3st6,1892,1427,862,503,RNA,0.0,0.000136,None,5e-05,0.003197,0.000392,0.042258,0.005465641094233656,0.0256,6.011428,reprogramming,1.591765,-0.003147,,
1659.5,Smarcc2_646,1682,1637,849,878,ATAC,0.000145,9.8e-05,None,0.005491,0.012712,0.038334,0.044674,0.18702074028282725,0.236929,0.085537,reprogramming,0.625382,0.007221,,
1660.0,Ripk4,1570,1750,636,700,RNA,0.000253,7e-05,None,0.009349,0.022944,0.107099,0.10629,0.008793494679603966,0.03738,1.305091,reprogramming,1.427356,-0.013595,,
1664.0,Celsr2,1467,1861,612,811,RNA,0.000335,4.5e-05,None,0.004007,0.010193,0.035589,0.066493,0.00692673617383745,0.030852,1.351444,reprogramming,1.510722,-0.006186,,
1664.0,Egr4_234,1684,1644,850,880,ATAC,0.000144,9.7e-05,None,0.012785,0.008797,0.039112,0.042935,0.4651851908471164,0.525587,-0.046587,dead-end,0.279355,-0.003988,,
1675.5,Iyd,1688,1663,667,616,RNA,0.000142,9.2e-05,None,0.002641,0.009694,0.032398,0.080457,0.005184632821462194,0.024507,1.880937,reprogramming,1.610717,-0.007053,,
1676.0,Efna2,1539,1813,631,763,RNA,0.000281,5.6e-05,None,0.033814,0.013563,0.127956,0.07102,0.0002541217505989303,0.001923,-1.332641,dead-end,2.716073,0.020251,,
1679.0,Alpk2,1534,1824,629,774,RNA,0.000285,5.3e-05,None,0.000908,0.005941,0.015541,0.052619,0.0011201180193700607,0.006807,2.713494,reprogramming,2.167048,-0.005033,,
1687.0,Fndc3c1,1665,1709,660,659,RNA,0.000164,8.3e-05,None,0.002948,0.01059,0.039699,0.069705,0.0019285411566457202,0.010873,1.850298,reprogramming,1.963647,-0.007642,,
1687.5,Lgr5,1908,1467,776,517,RNA,0.0,0.000129,None,0.003114,0.012009,0.036162,0.084119,0.0009374526397003434,0.00582,1.953495,reprogramming,2.235047,-0.008895,,
1689.0,Barx1,1745,1633,699,591,RNA,7.7e-05,9.9e-05,None,0.000787,0.005582,0.011871,0.060796,0.00476445849313327,0.022847,2.8298,reprogramming,1.64117,-0.004795,,
1698.0,Sox4_751,1717,1679,868,884,ATAC,0.000114,9e-05,None,-0.01056,0.010807,0.041568,0.040785,0.00020063556471870824,0.000529,0.273974,reprogramming,3.276676,0.021366,,
1699.5,Tmie,1990,1409,798,498,RNA,0.0,0.000138,None,0.001195,0.005562,0.016565,0.048289,0.002732352087365375,0.014518,2.221533,reprogramming,1.838095,-0.004367,,
1701.0,Zfhx2,1555,1847,634,797,RNA,0.000263,4.8e-05,None,0.028704,0.058683,0.113317,0.156554,1.504531571428401e-06,2e-05,1.053467,reprogramming,4.690558,-0.029979,,
